group,model,subject,bic
19,bias-scale-two-state-non-neg,1,-332.925226289515
19,x-aim-scale-two-state-non-neg,1,-359.34745966776006
19,y-aim-scale-two-state-non-neg,1,-359.38883253728443
19,error-scale-two-state,2,-360.751318394587
19,retention-scale-two-state,2,-409.9509631137072
19,bias-scale-two-state,2,-410.12886107274966
19,x-aim-scale-two-state,2,-416.54279718136627
19,y-aim-scale-two-state,2,-429.0210489902902
19,error-scale-one-state,2,-51.21419808294783
19,retention-scale-one-state,2,-43.97755535944319
19,bias-scale-one-state,2,-156.47255938076538
19,x-aim-scale-one-state,2,-177.11593997035249
19,y-aim-scale-one-state,2,-177.00314590078932
19,error-scale-two-state-non-neg,2,-336.9663187584423
19,retention-scale-two-state-non-neg,2,-334.95954845881073
19,bias-scale-two-state-non-neg,2,-380.19692616096074
19,x-aim-scale-two-state-non-neg,2,-395.5564449695272
19,y-aim-scale-two-state-non-neg,2,-395.51921568613795
19,error-scale-two-state,3,-338.72264313406873
19,retention-scale-two-state,3,-394.13054378014874
19,bias-scale-two-state,3,-382.5219570500639
19,x-aim-scale-two-state,3,-400.5596301430603
19,y-aim-scale-two-state,3,-400.59069684924316
19,error-scale-one-state,3,-52.54158520412639
19,retention-scale-one-state,3,-37.35093330919051
19,bias-scale-one-state,3,-149.32672699348916
19,x-aim-scale-one-state,3,-169.48390979231914
19,y-aim-scale-one-state,3,-169.80439230029293
19,error-scale-two-state-non-neg,3,-320.4908365302095
19,retention-scale-two-state-non-neg,3,-300.938719988434
19,bias-scale-two-state-non-neg,3,-358.1730943301915
19,x-aim-scale-two-state-non-neg,3,-378.20523405472625
19,y-aim-scale-two-state-non-neg,3,-378.089817693992
19,error-scale-two-state,4,-347.4584552627747
19,retention-scale-two-state,4,-396.93648805933066
19,bias-scale-two-state,4,-387.69361172286995
19,x-aim-scale-two-state,4,-399.8080921913469
19,y-aim-scale-two-state,4,-399.92268071302226
19,error-scale-one-state,4,-51.2430896519823
19,retention-scale-one-state,4,-41.24803676178492
19,bias-scale-one-state,4,-156.4622813409818
19,x-aim-scale-one-state,4,-175.1756892984355
19,y-aim-scale-one-state,4,-175.2439677434615
19,error-scale-two-state-non-neg,4,-325.69613002902736
19,retention-scale-two-state-non-neg,4,-307.4753337029863
19,bias-scale-two-state-non-neg,4,-381.46625656020194
19,x-aim-scale-two-state-non-neg,4,-379.5235765729386
19,y-aim-scale-two-state-non-neg,4,-379.38959830658484
19,error-scale-two-state,5,-378.0435687772428
19,retention-scale-two-state,5,-403.31333550239395
19,bias-scale-two-state,5,-381.56334788471963
19,x-aim-scale-two-state,5,-405.2209045562754
19,y-aim-scale-two-state,5,-396.84441299300477
19,error-scale-one-state,5,-51.0163988080441
19,retention-scale-one-state,5,-41.106430712925416
19,bias-scale-one-state,5,-144.75271629794784
19,x-aim-scale-one-state,5,-163.99188849984222
19,y-aim-scale-one-state,5,-163.92214894187453
19,error-scale-two-state-non-neg,5,-346.1785298328748
19,retention-scale-two-state-non-neg,5,-360.0231446603388
19,bias-scale-two-state-non-neg,5,-353.8945716306252
19,x-aim-scale-two-state-non-neg,5,-374.64869389249407
19,y-aim-scale-two-state-non-neg,5,-374.644504154714
19,error-scale-two-state,6,-361.0368457211233
19,retention-scale-two-state,6,-407.1845900702616
19,bias-scale-two-state,6,-394.5141724872857
19,x-aim-scale-two-state,6,-403.7606317792163
19,y-aim-scale-two-state,6,-416.347224805781
19,error-scale-one-state,6,-63.102603622931866
19,retention-scale-one-state,6,-52.55657465069683
19,bias-scale-one-state,6,-159.37578429582484
19,x-aim-scale-one-state,6,-177.66894352977698
19,y-aim-scale-one-state,6,-177.6197059549009
19,error-scale-two-state-non-neg,6,-341.96552321932376
19,retention-scale-two-state-non-neg,6,-342.8445215554178
19,bias-scale-two-state-non-neg,6,-377.78194553190946
19,x-aim-scale-two-state-non-neg,6,-402.667529506213
19,y-aim-scale-two-state-non-neg,6,-388.4600118691342
