GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,DIR,HA_INIT,HA_MID,HA_END
16,1,Adaptation,RH,141,201,0,-33,1,1,CCW,29.63585685,29.64043481,34.48754061
16,1,Adaptation,RH,142,202,0,-26,3,1,CCW,32.11729142,32.06489234,26.16763639
16,1,Adaptation,RH,143,203,0,-27,1,1,CCW,32.97811549,32.62807301,27.26035005
16,1,Adaptation,RH,144,204,0,-34,3,1,CCW,27.77634192,27.71921172,31.91306862
16,1,Adaptation,RH,145,205,0,-35,1,1,CCW,33.11330308,32.94702978,36.18016242
16,1,Adaptation,RH,146,206,0,-34,1,3,CCW,30.41637146,30.2205302,34.41386259
16,1,Adaptation,RH,147,207,0,-32,3,1,CCW,23.60883751,23.37755718,28.03353058
16,1,Adaptation,RH,148,208,0,-26,3,3,CCW,25.4145576,25.30784618,23.70313814
16,1,Adaptation,RH,149,209,0,-29,1,1,CCW,24.87282682,24.47229967,28.15609323
16,1,Adaptation,RH,150,210,0,-35,3,1,CCW,30.59820844,30.79105433,35.9430739
16,1,Adaptation,RH,151,211,0,-36,1,3,CCW,31.495026,31.59903802,36.59666964
16,1,Adaptation,RH,152,212,0,-32,1,3,CCW,25.0831794,25.07917383,30.86808525
16,1,Adaptation,RH,153,213,0,-30,1,1,CCW,27.57394451,27.56699029,27.85842384
16,1,Adaptation,RH,154,214,0,-31,3,3,CCW,30.12656069,29.96692798,32.39347482
16,1,Adaptation,RH,155,215,0,-28,3,1,CCW,25.1856398,25.38937686,26.97746597
16,1,Adaptation,RH,156,216,0,-33,3,1,CCW,33.95151533,33.92487183,33.09793118
16,1,Adaptation,RH,157,217,0,-31,1,3,CCW,34.43313525,34.29022921,29.12749565
16,1,Adaptation,RH,158,218,0,-32,3,3,CCW,24.58075916,24.85103632,29.44015907
16,1,Adaptation,RH,159,219,0,-29,3,3,CCW,27.68428999,27.63933578,26.66557541
16,1,Adaptation,RH,160,220,0,-31,3,1,CCW,27.09575026,26.97794446,30.7717548
16,1,Adaptation,RH,161,221,0,-28,3,1,CCW,30.00945841,29.95070769,27.96395053
16,1,Adaptation,RH,162,222,0,-36,1,1,CCW,31.70253272,31.53294747,28.8931118
16,1,Adaptation,RH,163,223,0,-29,1,1,CCW,31.31899937,31.09497371,30.41180377
16,1,Adaptation,RH,164,224,0,-33,1,3,CCW,24.93254101,25.43774095,30.73257044
16,1,Adaptation,RH,165,225,0,-22,1,3,CCW,28.59500016,28.92609968,23.62683009
16,1,Adaptation,RH,166,226,0,-34,1,1,CCW,28.74791114,28.80941817,36.60589717
16,1,Adaptation,RH,167,227,0,-29,3,1,CCW,31.61673816,31.36531449,29.41482724
16,1,Adaptation,RH,168,228,0,-33,3,3,CCW,30.91137946,30.73828585,32.42940262
16,1,Adaptation,RH,169,229,0,-28,3,3,CCW,25.00455342,24.96924659,28.51352915
16,1,Adaptation,RH,170,230,0,-33,1,1,CCW,27.52884706,27.68713027,29.508233
16,1,Adaptation,RH,171,231,0,-28,3,3,CCW,31.80676821,31.54036732,31.16551956
16,1,Adaptation,RH,172,232,0,-28,1,1,CCW,28.57793273,28.1119593,26.47027699
16,1,Adaptation,RH,173,233,0,-26,1,1,CCW,32.90334476,32.6135253,22.11317861
16,1,Adaptation,RH,174,234,0,-24,1,3,CCW,29.73185107,29.79855324,27.85708248
16,1,Adaptation,RH,175,235,0,-32,1,1,CCW,25.71756299,25.79583371,30.75953666
16,1,Adaptation,RH,176,236,0,-34,1,3,CCW,29.35568986,29.44602575,33.57422474
16,1,Adaptation,RH,177,237,0,-31,3,1,CCW,27.26523606,27.23917913,31.99847164
16,1,Adaptation,RH,178,238,0,-27,1,1,CCW,30.68879966,30.72553747,23.84495934
16,1,Adaptation,RH,179,239,0,-25,1,1,CCW,27.8713713,27.7761407,25.84037873
16,1,Adaptation,RH,180,240,0,-26,3,1,CCW,30.82535295,30.99775727,28.94681398
16,2,Adaptation,RH,1,61,0,-25,3,1,CCW,0.791978094,0.5196392,-1.522713421
16,2,Adaptation,RH,2,62,0,-34,3,1,CCW,14.94115486,15.03216077,26.16629112
16,2,Adaptation,RH,3,63,0,-38,3,3,CCW,15.7548078,15.58506593,31.46875562
16,2,Adaptation,RH,4,64,0,-31,1,1,CCW,16.29128004,16.22430265,29.52788261
16,2,Adaptation,RH,5,65,0,-30,1,1,CCW,19.03427196,19.14482863,29.22273856
16,2,Adaptation,RH,6,66,0,-34,1,1,CCW,18.50062356,18.70844169,35.01923123
16,2,Adaptation,RH,7,67,0,-23,3,3,CCW,19.17569702,18.95216928,21.24830264
16,2,Adaptation,RH,8,68,0,-29,1,1,CCW,16.16933661,16.42146835,26.07657739
16,2,Adaptation,RH,9,69,0,-22,3,3,CCW,21.80451104,21.93653966,20.30911516
16,2,Adaptation,RH,10,70,0,-32,1,3,CCW,15.10503254,15.09145943,32.40830924
16,2,Adaptation,RH,11,71,0,-30,3,3,CCW,17.64578037,17.60673613,28.10575728
